name;country;elevatorPitch;industry;;page
Crowdfunding Soma Tecnologia;Brazil;Soma Tecnologia conecta pequenas e médias empresas a investidores por meio de uma plataforma de crowdfunding inteligente. Simples, acessível;Fintech & financial services;;7
CSMKA;Brazil;Draw code. Create auditable symbolic AI agents. Computational thinking rooted in African ancestral computing — for education and games;Education;;7
CuboPlus Trail;Brazil;Gamify training, import content and let AI accelerate learning paths and quizzes. Guide and evaluate team with more agility and precision.;Education;;7
Decifra;Brazil;Reach your goals and take back control of your financial life. Decipher it.;Fintech & financial services;;7
DEXCAP;Brazil;Infraestrutura tecnológica regulada pela CVM para a emissão de ofertas públicas tokenizadas com mais agilidade, segurança e transparência.;Fintech & financial services;;8
digcap;Brazil;We turn Brazilian legal claims into high-yield investment opportunities — liquid, transparent, and secure. Come invest with us!;Fintech & financial services;;8
Dogama;Brazil;Dogama is the B2B marketplace where Brazilian suppliers meet a nationwide sales force of online resellers, automating every step in between;E-commerce & retail;;8
Dom Pagamentos;Brazil;Processador de pagamentos com 97–99% de aprovação, cashback automático, API robusta para integração e tecnologia própria.;Fintech & financial services;;8
DropSusten Shop Sustentável;Brazil;Marketplace connecting 600+ Brazilian sustainable manufacturers to consumers with futuristic and eco-friendly impact products. JOIN US;E-commerce & retail;;8
Easely;Brazil;Easely organiza o financeiro de bares e restaurantes com tecnologia, trazendo clareza, previsibilidade e suporte para decisões estratégicas.;Fintech & financial services;;9
EasyChange Group;Brazil;Our essence is Easy: we believe in technology that is intuitive, secure, and built to last. We create real impact by simplifying the complex;Fintech & financial services;;9
ECAVERSO;Brazil;No digital, cada passo importa. Educamos, com gamificação, crianças e adolescentes para navegar com segurança online conforme à Lei Felca.;Education;;9
Edukdados;Brazil;Como virar matrícula? Inteligência territorial com dados INEP/IBGE, malha H3 e DOOH programática para escolas e redes privadas.;Education;;9
EDUKKARE;Brazil;We are a brazilian PaaS solution for Early Childhood.;Education;;9
edunext;Brazil;Infrastructure for education that digitizes enrollments, payments, reduces delinquency, improves institutions’ cash flow predictability;Fintech & financial services;;9
Edutivo Edtech;Brazil;SaaS-powered corporate education made simple. Deliver education as a benefit and unlock growth for teams and companies.;Education;;9
Éllua Educ;Brazil;Éllua Educ builds psychologists' confidence in high-risk care via DBT training, clinical simulators, and step-by-step crisis guidance.;Education;;9
eniesse Grow by eniesse Hub;Brazil;Learning and acceleration platform for producers of vegan, artisanal and natural products to scale in the digital market;E-commerce & retail;;9
Entrega+ Modall;Brazil;A Entrega+ é uma empresa de tecnologia que desenvolve soluções digitais com uso de inteligência artificial para transformar atendimento.;E-commerce & retail;;9
EqualMind;Brazil;Eles disseram que a IA tiraria empregos. Nós decidimos que ela daria dignidade.;Education;;9
ESCS;Brazil;IA aplicada à Cibersegurança: Assessment Continuado baseado em NIST CSF v2, CIS v8 e ISO 27001/27701 para gestão real de riscos e Zero Trust;Fintech & financial services;;9
ESGreen - ESG Data Infrastructure;Brazil;ESG data infrastructure for financial institutions. 70+ data sources, proprietary scoring, climate risk powered by NVIDIA Earth-2.;Fintech & financial services;;9
ESPIRIAL;Chile;Criação de cursos completos em minutos - com vídeos, atividades interativas, avaliações e rigor acadêmico.;Education;;10
Evob;Brazil;Evob is a platform to monetize authority and audience, turning knowledge into scalable digital businesses with recurring revenue.;Education;;10
Evolve MVP;Brazil;We help people turn ideas into real businesses by validating, building MVPs and structuring go-to-market strategies.;Education;;10
Evous - Knowledge to Action;Brazil;Platform for enablement, readiness and execution. Faster ramp, better consistency, measurable results. Book a demo.;Education;;10
Exyo;Brazil;EXYO enhances human potential through AI. We blend behavioral science and tech to empower education, health, and professional development.;Education;;10
FarmaUp;Brazil;Inteligência Artificial aplicada ao varejo farma, a plataforma automatiza ações comerciais, ativa clientes e aumenta vendas.;E-commerce & retail;;10
Fastpay Brasil;Brazil;Brazilian payment infrastructure for e-commerce. Human support, PIX Recovery and Apple Pay. Licensed sub-acquirer. Now expanding globally.;Fintech & financial services;;10
Feng Cart;United States;Turn your Shopify store into a powerful mobile app. Drag, drop & go live.  No code, Full customization, Built to convert.;E-commerce & retail;;10
Finvero;Mexico;Finvero provides AI-powered alternative credit scoring and lending infrastructure for banks fintechs, and retailers.;Fintech & financial services;;10
FIRA;Brazil;FIRA is an AI RegTech platform focused on preventing money laundering, detecting suspicious behavior, and automating compliance in real time;Fintech & financial services;;10
FlowCredi;Brazil;FlowCredi is a Brazilian Credit MarketPlace with best-in-class technology offering Home-equity and other low interest rate credit products.;Fintech & financial services;;11
Flowgrammers;Brazil;Somos parceiros oficias da n8n no Brasil. Apoiamos você ou sua sua empresa na formação em automação no-code enterprise. Conheça-nos;Education;;11
;;;;;
;;;;;
;;;;;
Foodbank;Nigeria;Making life easy. FoodBank solves Nigeria's food access crisis with a mobile platform delivering affordable meals,;E-commerce & retail;;11
Founders Club;Brazil;Maior hub exclusivo para founders do Brasil. Apoiamos 365 dias por ano com educação, conexões, negócios, benefícios e acesso a investimento;Education;;11
Frotlog Gestão de Pagamentos em Rota;Brazil;Solução completa de pagamentos de despesas em rota. Elimine o dinheiro em espécie da operação com controle e dados em tempo real.;Fintech & financial services;;11
G7med;Brazil;An educational platform bringing frontline medical education to doctors, HCPs, and patients, with a primary care focus to impact real lives.;Education;;11
GabaritaEnfermagem;Brazil;O Gabarita Enfermagem é uma edtech especializada em inteligência artificial aplicada à preparação para concursos públicos na Enfermagem.;Education;;11
Gander;Brazil;Utilizamos IA para ajudar supermercados e farmácias em 10 países a reduzirem as suas perdas com produtos vencidos em +60%.;E-commerce & retail;;11
Gaze;Brazil;Gaze is a fundamental analysis app that transforms complex financial data into clear investment decisions. Track Brazilian and U.S. stocks with intelligent rankings, key financial metrics, interactive charts, and AI-powered strategic insights. Built for long-term investors who want clarity, confidence, and data-driven conviction.;Fintech & financial services;;11
GAZUM Corp;United States;AI-powered trading intelligence. Real-time scanners, AI Coach, paper trading & predictions — all in one platform. Not a broker, the brain.;Fintech & financial services;;11
Gestão D'escola Tecnologia;Brazil;SaaS de gestão financeira e contábil para escolas públicas: Tecnologia que otimiza recursos e garante conformidade para o gestor e governo.;Education;;12
GhostPayMesh;Brazil;GhostPay Mesh — Offline-capable cryptographic infrastructure for resilient value synchronization beyond constant internet dependency.;Fintech & financial services;;12
GIRO.TECH;Brazil;We are a credit infrastructure that enables retailers to operate like a bank in Brazil.;Fintech & financial services;;12
Grocers;Brazil;A nova geração do e-commerce alimentar: IA que reabastece a despensa do consumidor e automatiza a operação do supermercado.;E-commerce & retail;;12
Growzone;Brazil;Connecting people facing censorship through free, inclusive edu-tech — where communities grow, learn, and access knowledge without barriers.;Education;;12
;Brazil;Financial Market, Artificial Intelligence - AIIA Labs;;;
;;;;;
GYRA+;Brazil;SaaS Platform. We help corporates, financial institutions and fintechs to scale credit approvals and background checks.;Fintech & financial services;;12
hackU;Brazil;HackÜ is an AI learning OS that turns content into conversational micro-learning via WhatsApp, empowering the 80% deskless workforce.;Education;;12
Hands-on;Brazil;Create beautiful online courses easily and swiftly. An AI-powered authoring tool that will revolutionize learning.;Education;;12
Herdei;Brazil;Destravamos heranças com soluções financeiras para inventário e holding, em uma plataforma inteligente que conecta clientes e especialistas.;Fintech & financial services;;13
HORSE BIDS TECNOLOGIA S.A;Brazil;Nosso objetivo é construir a melhor e mais completa plataforma,oferecendo inteligência e facilidade para as melhores negociações do mercado.;Fintech & financial services;;13
https://manage.websummit.com/Zayra;Brazil;Zayra is a Brazilian Web3 & Finance edtech. Learn, Build & Earn methodology: master concepts, create real projects, achieve tangible results.;Education;;13
HUB2YOU Insurtech;Brazil;AI sales, no-touch, agents for insurance brokers. 24/7 quoting, CRM integration, and automated renewals. Built for scale.;Fintech & financial services;;13
Iaas!;Brazil;Iaas! transforms complex regulation into digital infrastructure for compliance, risk, and governance.;Fintech & financial services;;13
idworks | Muito mais que ERP;Brazil;A idworks é um sistema de gestão empresarial que integra estoque, logística, pedidos e dados, centralizando e transformando operações.;E-commerce & retail;;14
Imans;Brazil;Imans turns scattered business data into clear signals and actions, helping companies protect margins, avoid blind spots and move faster.;E-commerce & retail;;14
INFINITY ACADEMY 3D;Brazil;Desenvolve soluções educacionais imersivas unindo inteligência artificial e realidade virtual para transformar como as pessoas aprendem.;Education;;14
Iniciador;Brazil;A infraestrutura que escala o Open Finance no Brasil: pagamentos e dados bancários para a próxima geração de serviços financeiros.;Fintech & financial services;;14
InspiredTech;Brazil;Transforming school admin chaos into operational intelligence, using AI to improve planning and school management.;Education;;14
Interativamente Educação E Tecnologia;Brazil;Transformamos a educação com tecnologia, interatividade e inclusão, conectando escolas ao futuro da aprendizagem.;Education;;14
InvestPlay;Brazil;InvestPlay transforms banks and corporates' transactional data into new revenue opportunities with AI.;Fintech & financial services;;14
iUPay;Brazil;Solução líder que automatiza e centraliza contas a pagar, com infraestrutura completa de DDA, elevando eficiência e experiência em pagamento;Fintech & financial services;;14
Jobo;Brazil;Seus filhos acham que dinheiro dá em árvore? Com missões, decisões e IA segura, eles aprendem na prática.;Education;;14
;Canada;Less stuff. More life.;;;
;;;;;
kofitime;Colombia;The global digital ecosystem for specialty coffee, uniting events and loyalty tools to help cafés grow and retain customers.;E-commerce & retail;;15
Kolek;Brazil;Automating receivables, payments and cash flow for SMEs through WhatsApp, PIX and ERP integrations.;Fintech & financial services;;15
KTH Group;Brazil;A SaaS platform that integrates the entire investment management firm, letting teams focus on maximizing returns and managing risk;Fintech & financial services;;15
Lemme Tech;Brazil;After-school platform to optimize registrations, sales, payments, classes attendance, schedules and activity profitability.;Education;;15
LessonAI;Brazil;Somos uma empresa de educação. Usamos IA para devolver tempo ao professor brasileiro — do planejamento à correção, tudo alinhado à BNCC.;Education;;16
Let's Sum;Brazil;Building Excellence with Purpose: reconnecting people with their voice through emotional health, communication and education.;Education;;16
LetzGrow;Brazil;A LetzGrow é uma plataforma Lifelong learning centrada no profissional.;Education;;16
LingoTurbo;Brazil;LingoTurbo helps people practice languages with game modes and a frictionless experience for fast, focused learning.;Education;;16
Liquid AI;Brazil;Agentic infrastructure for credit policy, risk decisions, and asset liquidity. Governed AI agents from analyst workflow to capital access.;Fintech & financial services;;16
LiveCom;Brazil;Livecom combines high-quality streaming, interactivity, and AI to turn live audiences into scalable e-commerce sales.;E-commerce & retail;;16
Lizard - app;Brazil;Edtech SaaS que ensina inglês com repetição espaçada, gamificação e metodologia científica, escalando via B2C, B2B (parceria escolas) e B2G.;Education;;16
Logiez;Brazil;Logiez is a logtech for international shipping, providing SMEs with freight quotes, labels, and customs management for global exports.;E-commerce & retail;;16
Lojaz;Brazil;LojAZ, é o primeiro delivery de moda que entrega em até 60 minutos. Compre sua roupa e receba na hora, direto das melhores lojas.;E-commerce & retail;;16
Lucida;Brazil;A IA que trabalha com o professor, não no lugar dele. Autoria que escala, ensino que evolui, aprendizagem que importa.;Education;;16
Luz AI Solutions;Brazil;AI corporate education edtech helping companies transform AI into practical workflows, productivity, and real business results;Education;;16
Mais1code;Brazil;+1Code is Reprogramming the 'favela' via elite AI & tech education. Connecting underserved talent to the global digital economy.;Education;;16
Masfazzil;Paraguay;Masfazzil is a cross-border payment gateway that democratize FX costs across countries. providing B2B2C liquidity and infrastructure.;Fintech & financial services;;17
MasVerde;El Salvador;MasVerde is the Green-Tech hub for the botanical world, connecting nurseries and collectors via our specialized mobile platform.;E-commerce & retail;;17
Medflow;Brazil;Somos uma fintech especializada em antecipação de recebíveis médicos. Atuamos como um benefício às gestoras de saúde e hospitais.;Fintech & financial services;;17
MediGet;Paraguay;Building recurring payment infrastructure for healthcare providers in Latin America.;Fintech & financial services;;17
Medroom;Brazil;Laboratório de Inovação especializado em soluções para educação e saúde, com foco em IA e experiências de aprendizado digitais e imersivas.;Education;;17
Mesa de Pagos;Bolivia;Cross-border payments in Bolivia: pay-ins, pay-outs, OTC liquidity, and card processing with fiat and stablecoin rails. Licensed company.;Fintech & financial services;;17
MetaHealth;Brazil;Virtual reality clinical training platform for scalable learning, structured practice, and standardized evaluation and feedback.;Education;;17
Meu Negócio;Brazil;An intuitive financial platform for small businesses to manage cash flow, control costs, price smarter, and grow confidently.;Fintech & financial services;;17
Meu Novo Sócio;Brazil;The place where entrepreneurs connect!;Fintech & financial services;;17
Meu Patrimônio;Brazil;Meu Patrimônio helps families manage wealth with transparent, independent and innovative investment advisory.;Fintech & financial services;;17
Midatopay;Argentina;Midatopay is a fintech solution for merchants that convert their sales automatically into stablecoins using a QR code system.;Fintech & financial services;;18
MIDDAG, LLC;Brazil;Flexible e-learning for operational needs.;Education;;18
;Portugal;The first fast selling business platform in the world. ;;;
;;;;;
;;;;;
ModoSegu;Brazil;Revolutionizing Brazilian insurance via Embedded Tech. Scale revenue and digital channels through seamless, native and innovative solutions.;Fintech & financial services;;18
molHub;Brazil;With molHub, you increase sales, reduce defaults, and seamlessly automate receivables splitting with full control and security.;Fintech & financial services;;18
MonaBit;United States;Building the new global financial services backbone powered by Blockchain, Agentic AI and Stablecoins;Fintech & financial services;;18
Moneway;Brazil;Plataforma Financeira com IA que organiza finanças, dívidas, investimentos e metas com insights  inteligentes e educação financeira.;Fintech & financial services;;18
MoneyMEI;Brazil;Conecte todas as suas contas, descubra tarifas abusivas e tome decisões com clareza em uma plataforma regulada pelo Banco Central.;Fintech & financial services;;18
Muney App;Mexico;Financial infrastructure that turns Stablecoins into real world value, enabling instant remittances, cash access, and global B2B transaction;Fintech & financial services;;18
Muse;Brazil;Muse is a platform that turns music royalties into an investable asset, connecting artists with everyday investors.;Fintech & financial services;;18
My Turn - Retail Data Intelligence;Brazil;Retail data intelligence that boosts sales through insights on conversion, team performance, and operations.;E-commerce & retail;;18
NearX;Brazil;Formação executiva para líderes que querem se desenvolver em Governança de IA e Tokenização.;Education;;19
Neofin;Brazil;The new generation of smart collections. We transform late payments & defaults into cash flow with AI & intelligence. The future is here.;Fintech & financial services;;19
NeoVC;Chile;Streamline your VC workflow. NeoVC offers a modular, secure operating system for funds, startups & LPs—built by industry experts.;Fintech & financial services;;19
NeuroIdentify;Brazil;We help schools recognize neurodivergent traits in students, understand their behavior and support development.;Education;;19
NeuroTrade;Brazil;Integrating neuroeconomics, behavioral AI, and cognitive training to enhance financial decisions and investment outcomes.;Fintech & financial services;;19
Nexis;Brazil;Nexis: IA no checkout que reduz fraudes e falsos positivos, recupera vendas e aumenta a lucratividade de operações digitais.;Fintech & financial services;;19
Nexo;Brazil;Nexo is an EdTech SaaS career accelerator empowering the IT workforce with real-world simulations. Validated and ready for global scale.;Education;;19
;Netherlands;Not a chatbot.;;;
;;;;;
Nexum Financas Conectadas;Brazil;All your banks and investments in one AI app. Ask anything about your money. Answers from your real data.;Fintech & financial services;;19
NIA;Brazil;AI-powered financial Wellness platform helping people transform their relationship with money through behavioral science and micro-habits.;Education;;19
Ninegrid;Brazil;Ninegrid is a mobile commerce platform that drives revenue by connecting physical and digital sales through seamless ordering and automation;E-commerce & retail;;20
nordic wallet;Denmark;Stablecoins wallet for payouts;Fintech & financial services;;20
Nortcash;Brazil;IA que organiza o financeiro da sua empresa e transforma dados em ações claras.;Fintech & financial services;;20
Nota Máxima;Brazil;Nota Máxima is the first SaaS EdTech and GameTech platform combining Gamification, Neuroscience and AI for civil service exam preparation.;Education;;20
Now Academy;Brazil;Uma plataforma. Dois lados. Quem aprende evolui. Quem ensina ganha. A NOW conecta conhecimento humano em tempo real, para qualquer área.;Education;;20
NoxPay;Brazil;Noxpay CrossBorder helps global digital businesses accept Pix in Brazil (API + dashboard) and settle instantly in stablecoins at fair prices;Fintech & financial services;;20
Numerel;Brazil;60% of clinics close within 5 years. NUMEREL solves fiscal chaos with AI, ensuring profit and security for the 2026 Tax Reform.;Fintech & financial services;;20
OfferIn;Brazil;Digital outlet that transforms stagnant inventory into sales! Customers make offers and stores sell items without devaluing the brand.;E-commerce & retail;;20
Oinc;Brazil;Oinc is building the future of personal money management with Open Finance, AI-driven personalization, and automation.;Fintech & financial services;;20
OKTO;Brazil;A OKTO é uma plataforma de contabilidade, gestão financeira, tributária e automação empresarial com Inteligência Artificial.;Fintech & financial services;;20
Openi;Brazil;Discovery Openi, the first integration hub in Brazil that connects Open Banking to systems and ERPs.;Fintech & financial services;;21
Orbe Match;Brazil;Conexão entre investidores e consultores certificados utilizando IA, unindo organização financeira, educação e match inteligente.;Fintech & financial services;;21
ORBIT;Brazil;AI assistant that turns visitors into buyers 24/7: accelerates revenue, recovers sales, maximizes AOV and skyrockets conversion.;E-commerce & retail;;21
Orbix Learning;Brazil;Unleash student potential with AI-driven adaptive methodology. Personalized paths for every student with reliability and traceability.;Education;;21
Orcei;Brazil;AI sales agents for construction retailers;E-commerce & retail;;21
ORION FLUENT;Brazil;Edtech que desenvolve comunicação profissional em inglês com prática diária via WhatsApp, focada em fluência no trabalho.;Education;;21
Paggpix;Brazil;Pix, tablet e gamificação no caixa: a infraestrutura que o varejo físico precisa pra vender mais. +1.100 lojas ativas.;Fintech & financial services;;21
;Brazil;Com medo de dar crédito para seus clientes?;;;
;;;;;
;;;;;
Parabank;Brazil;O 1º banco digital para Pessoas Com Deficiência;Fintech & financial services;;21
PayConductor.AI;Brazil;PayConductor helps e-commerces boost approvals, recover lost revenue and optimize payment routes with AI-driven orchestration.;Fintech & financial services;;21
Payloop;Brazil;Payloop is a recurring billing infrastructure that helps companies scale revenue models without operational complexity.;Fintech & financial services;;22
PaySales;Brazil;Transforma recebíveis de cartão em dinheiro rápido, seguro e rentável para varejos e investidores.;Fintech & financial services;;22
PetHoteis;Brazil;A PetHoteis conecta tutores de Pet a CrecheHoteis profissionais com reservas seguras, gestão e tecnologia para o mercado pet.;E-commerce & retail;;22
PIXDEA;Costa Rica;The AI and XR ecosystem that gives teachers superpowers and generates real-time data to measure and improve learning across schools.;Education;;22
PixNow;Brazil;Sell more to Brazilians with instant Pix checkout for your customers, fast FX/stablecoin settlement for your business.;Fintech & financial services;;22
PlatomAI;Brazil;AI-first platform making finance accessible to all — from personalized market insights to portfolio intelligence. Born in Brazil, global.;Fintech & financial services;;22
PLIQZ;Brazil;Pliqz conecta fornecedores a milhares de PDVs, com vendas na maquininha, pagamento integrado e repasse automático.;Fintech & financial services;;22
Plowf;Brazil;Plowf is Brazil's Pix-native BaaS — APIs for cash in, cash out, and split payments built for marketplaces and platforms.;Fintech & financial services;;22
Pluggy;Brazil;Pluggy connects any business or financial software to any bank for seamless data integration and payments via Open Finance;Fintech & financial services;;22
PREDICTA PRO;Brazil;Enpower AI to drive strategic financial matters. Insights, predictive analytics, cashflow management and FP&A in a single platform.;Fintech & financial services;;23
Principia;Brazil;Principia is building the AI Operating System for Education in Latin America: a platform combining AI Agents, Financial Solutions, and ERP Software, purpose-built for universities and schools. In under three years, we scaled to $30M ARR, with 1,300+ institutions and 800,000 students on the platform. Backed by Valor Capital Group.;Fintech & financial services;;23
Pronttia Marketing;Brazil;Sua operação de e-commerce, descomplicada. Plataforma de inteligência operacional com IA.;E-commerce & retail;;23
ProvaJá;Brazil;Uma IA desenvolvida para criar provas e corrigir cartões-resposta, pensada especialmente para o professor universitário brasileiro.;Education;;23
Quiva App;Brazil;More than a marketplace, Quiva connects surfers, surf shops and shapers to buy and sell boards, building a circular economy and community.;E-commerce & retail;;23
Ray Pay;Brazil;Payment and service solutions, specially designed for visually impaired and elderly people.;Fintech & financial services;;24
Realize Edtech;Brazil;All-in-one solution to create, engage and measure corporate training that actually works.;Education;;24
Rede Imulheres - Educação Empreendedora e Networking de Alta Performance;Brazil;Startup de desenvolvimento social/econômico, impulsiona mulheres empreendedoras por meio de educação, networking e experiências de impacto.;Education;;24
RegulaBT;Brazil;Plataforma de Inteligência Regulatória, permite o acompanhamento e o entendimento regulatório, transformando normativos em oportunidades.;Fintech & financial services;;24
Rendeu;Brazil;Rendeu conecta trabalhadores de aplicativos á serviços financeiros com base em ganhos diarios e performance real nas plataformas.;Fintech & financial services;;24
ResultPay;Brazil;ResultPay é uma plataforma que permite ao varejo oferecer crédito no PDV aumentando conversão, ticket médio, vendas com tecnologia e suporte;Fintech & financial services;;24
Revisa AI;Brazil;By Aurora Tech: An AI-powered, gamified platform turning essay writing into a continuous learning loop for students and schools.;Education;;24
Revisa Hub Educação;Brazil;A Revisa Hub é uma EdTech focada em cursos preparatórios para residências na área da saúde.;Education;;24
Runink;Canada;Runink digital twins for revenue recovery, inventory orchestration, and risk management maximize operational margins.;Fintech & financial services;;24
Saber em Rede;Brazil;Brazil’s largest student acquisition network, connecting institutions, ambassadors, and students to expand access to education nationwide.;Education;;24
SATS Capital;Brazil;SATS Capital turns everyday purchases into Bitcoin cashback, helping users accumulate Bitcoin through daily spending.;Fintech & financial services;;25
Science Play;Brazil;Largest health education platform in Latin America. 140K+ medicine doctors and nutritionists building clinical authority.;Education;;25
SECTZE;Brazil;The simple way to build complex financial products.;Fintech & financial services;;25
Setfin;Brazil;A Setfin⁠ é a infraestrutura que une contabilidade, gestão e pagamentos em um só lugar.;Fintech & financial services;;25
Seu Ativo;Brazil;Empowering SMEs by turning receivables into secure, tradable assets, reducing reliance on debt and creating a new asset class for investors;Fintech & financial services;;25
Smart Learn;Brazil;A Smart Learn é um sistema de gestão escolar. Oferecemos ferramentas independentes que auxiliam a escola, professores e alunos.;Education;;26
SoluSaaS;Brazil;The infra layer making lending as easy as an online store. AI-driven, with banking & funding included. Use our eco or your own.;Fintech & financial services;;26
SoulCode;Brazil;SoulCode redefines digital inclusion at scale through AI and digital literacy, turning overlooked talent into workforce-ready professionals.;Education;;26
